A,Verb,B,Count
discrete capacitors,switch,match configurations,1
discrete capacitors,provide,match configurations,1
switching limit,comprise,discrete capacitors,1
substrate holder,load,partition plates,1
substrate holder,include,partition plates,1
partition plates,partition,process chamber,1
partition plates,be,process chamber,1
partition plates,load,process chamber,1
process chamber,receive,substrate holder,1
protrusions,protrude,partition plates,1
process chamber,face,partition plates,1
partition plates,form,clearances,1
inner circumferential surfaces,form,partition plates,1
inner circumferential surfaces,protrude,partition plates,1
gas supply part,supply,inert gas,1
ances,be,inner circumferential surfaces,1
ances,form,inner circumferential surfaces,1
direct current voltage,apply,plasma processing device,1
direct current voltage,wherein,plasma processing device,1
direct current voltage,dispose,plasma processing device,1
plasma processing device,provide,electrostatic capacitance,1
electrostatic capacitance,wherein,measuring unit,1
electrostatic capacitance,be,measuring unit,1
electrostatic capacitance,connect,measuring unit,1
measuring unit,measure,electric charge amount,1
measuring unit,correspond,electric charge amount,1
electric charge amount,accumulate,electrostatic capacitance,1
electric charge amount,provide,electrostatic capacitance,1
processing device,include,inlet structure,1
processing device,accommodate,inlet structure,1
inlet structure,provide,merging region,1
merging region,connect,control,1
control,configure,inlet structure,1
control,provide,inlet structure,1
control,raise,inlet structure,1
liquid control,configure,merging region,1
liquid control,introduce,merging region,1
merging region,wherein,liquid control,1
substrate processing method,include,center portion discharging step,1
center portion discharging step,discharge,upper surface,1
center portion discharging step,dispose,upper surface,1
inert gas,above,gas flow,1
inert gas,discharge,gas flow,1
inert gas,form,gas flow,1
gas flow,flow,upper surface,1
upper surface,supply,upper,1
upper surface,discharge,upper,1
upper surface,dispose,upper,1
upper,discharge,inert gas,1
semiconductor substrate,comprise,semiconductor material,1
semiconductor substrate,heat,semiconductor material,1
semiconductor material,obtain,molten semiconductor material,1
molten semiconductor material,spray,semiconductor material,1
baseplate,use,thermal spraying gun,1
thermal spraying gun,cool,semiconductor material,1
thermal spraying gun,solidify,semiconductor material,1
baseplate,obtain,semiconductor substrate,1
manufacturing cost,manufacture,semiconductor substrate,1
etching method,use,first organic film,1
first organic film,process,oxide film,1
first organic film,have,oxide film,1
first organic film,form,oxide film,1
first organic film,etch,oxide film,1
target,provide,second organic film,1
oxide,use,etching gas,1
etching selection ratio,be,second organic film,1
etching selection ratio,adjust,second organic film,1
second organic film,base,first,1
second organic film,cause,first,1
first,be,oxide film,1
first,expose,oxide film,1
first,remove,oxide film,1
oxide film,etch,et,1
et,ching,target film,1
substrate holder,hold,horizontal posture,1
horizontal posture,rotate,vertical rotary axis,1
vertical rotary axis,pass,guard member,1
guard member,have,surface peripheral area,1
guard member,extend,surface peripheral area,1
guard member,be,surface peripheral area,1
guard member,place,surface peripheral area,1
cup,be,tubular member,1
cup,be,substrate holder,1
cup,provide,substrate holder,1
cup,surround,substrate holder,1
cup,hold,substrate holder,1
processing,be,surface peripheral area,1
processing,discharge,surface peripheral area,1
chemical atomic layer etching,form,modification layer,1
replacement chemistries,reduce,RIE lag,1
RIE lag,associate,deep silicon aperture etching,1
etching process,be,surface oxide,1
etching process,provide,surface oxide,1
etching process,include,surface oxide,1
etching process,remove,surface oxide,1
reproducibility,improve,selectivity,1
substrate processing,include,process liquid,1
substrate processing,supply,process liquid,1
process liquid,contain,sublimable substance,1
solidifying unit,solidify,solidified body,1
solidifying unit,form,solidified body,1
sublimating unit,sublime,solidified,1
solidified,remove,vapor pressure,1
process liquid,be,surface tension,1
semiconductor fin,immerse,semiconductor substrate,1
electrolyte bath,remove,semiconductor fin,1
semiconductor fin,supply,counter electrode,1
embodiment,be,wafer holders,1
embodiment,position,wafer holders,1
wafer holders,heat,displacement stages,1
wafer holders,cool,displacement stages,1
semiconductor plasma processing apparatus,comprise,scalable multiplexing layout,1
semiconductor plasma processing apparatus,arrange,scalable multiplexing layout,1
substrate support,be,electrostatic clamping electrode,1
substrate support,incorporate,electrostatic clamping electrode,1
substrate support,include,electrostatic clamping electrode,1
sheet expanding apparatus,include,adhering mechanism,1
adhering mechanism,include,adhering roller,1
adhering roller,be,transfer unit,1
adhering roller,adhere,transfer unit,1
adhering roller,cut,transfer unit,1
sensor column,measure,processing chamber,1
sensor column,include,chamber component,1
sensor column,contact,chamber component,1
chamber component,be,protective tube,1
chamber component,measure,protective tube,1
protective tube,have,inner volume,1
inner volume,extend,protective tube,1
inner volume,wherein,protective tube,1
inner volume,be,protective tube,1
inner volume,attach,protective tube,1
protective tube,be,processing chamber,1
protective tube,position,processing chamber,1
dividing step,apply,laser beam,1
laser beam,form,division grooves,1
division grooves,divide,polyolefin sheet,1
division grooves,pick,polyolefin sheet,1
substrate processing apparatus,have,transfer arm,1
transfer arm,configure,transfer chamber,1
transfer arm,transfer,transfer chamber,1
processing chamber,have,mounting tables,1
substrate processing apparatus,include,lower substrate detection sensor,1
lower substrate detection sensor,configure,upper substrate detection sensor,1
lower substrate detection sensor,detect,upper substrate detection sensor,1
lower substrate detection sensor,be,upper substrate detection sensor,1
lower substrate detection sensor,transfer,upper substrate detection sensor,1
gate layer,serve,etch mask,1
vertical fins,form,protective liner,1
protective liner,have,vertical fins,1
protective liner,vary,vertical fins,1
protective liner,form,protective liner segments,1
protective,form,vertical fins,1
laterally,etch,substrate mesa,1
substrate mesa,form,supporting pillar,1
supporting pillar,undercut,vertical fins,1
buried local interconnect,be,first sacrificial layer,1
buried local interconnect,disclose,first sacrificial layer,1
buried local interconnect,include,first sacrificial layer,1
buried local interconnect,form,first sacrificial layer,1
first sacrificial layer,embed,first semiconductor layer,1
second semiconductor layer,form,fin structures,1
second semiconductor layer,form,mask layer,1
mask layer,have,fin structures,1
mask layer,position,fin structures,1
fin structures,remove,second semiconductor layer,1
second semiconductor layer,define,semiconductor layer,1
semiconductor layer,remove,lateral cavity extensions,1
semiconductor layer,position,lateral cavity extensions,1
semiconductor layer,form,lateral cavity extensions,1
lateral cavity extensions,form,first liner layer,1
first liner layer,form,conductive interconnect,1
semiconductor package,include,encapsulated semiconductor device,1
encapsulated semiconductor device,include,semiconductor device,1
semiconductor device,encapsulate,encapsulation material,1
encapsulated semiconductor device,connect,semiconductor device,1
insulating layer,be,encapsulated semiconductor device,1
insulating layer,dispose,encapsulated semiconductor device,1
antenna,be,insulating layer,1
semiconductor substrate,be,semiconductor strip,1
semiconductor strip,deposit,dielectric dose film,1
planarization,be,dielectric material,1
planarization,perform,dielectric material,1
thermal treatment,be,dielectric dose film,1
thermal treatment,perform,dielectric dose film,1
thermal treatment,diffuse,dielectric dose film,1
integrated circuit memory device,include,vertical stack structure,1
vertical stack structure,contain,interlayer insulating layer,1
lateral impurity region,be,interlayer insulating layer,1
lateral impurity region,provide,interlayer insulating layer,1
lateral impurity region,extend,interlayer insulating layer,1
lateral impurity region,block,interlayer insulating layer,1
interlayer insulating layer,block,gate electrode,1
oxide film,form,semiconductor material,1
oxide film,wherein,semiconductor material,1
oxide film,contain,semiconductor material,1
semiconductor material,have,first etch selectivity,1
first etch selectivity,form,second etch selectivity,1
first etch selectivity,wherein,second etch selectivity,1
first etch selectivity,contain,second etch selectivity,1
first etch selectivity,have,second etch selectivity,1
second etch selectivity,form,second mask film pattern,1
second mask film pattern,pattern,first mask film pattern,1
second mask film pattern,form,first mask film pattern,1
first mask film pattern,pattern,second mask film pattern,1
first mask film pattern,etch,second mask film pattern,1
first mask film pattern,use,second mask film pattern,1
etch mask film,etch,first mask film pattern,1
etch mask film,use,first mask film pattern,1
semiconductor layer,arrange,substrate,1
FinFETs,form,finFETs,1
channel region,include,semiconductor layers,1
field plate,include,semiconductor surface layer,1
